County,lbs,Rank,Year
Alameda,305138,38,2014
Alpine,271,58,2014
Amador,95998,43,2014
Butte,2987804,17,2014
Calaveras,58683,47,2014
Colusa,2484881,18,2014
Contra Costa,412703,36,2014
Del Norte,25006,52,2014
El Dorado,155546,41,2014
Fresno,31828231,1,2014
Glenn,2085121,21,2014
Humboldt,36655,50,2014
Imperial,5005430,11,2014
Inyo,12114,55,2014
Kern,27181424,2,2014
Kings,6886134,9,2014
Lake,581234,34,2014
Lassen,116873,42,2014
Los Angeles,2077656,22,2014
Madera,9584260,5,2014
Marin,76885,46,2014
Mariposa,8748,57,2014
Mendocino,889088,31,2014
Merced,8953045,7,2014
Modoc,91581,44,2014
Mono,9885,56,2014
Monterey,9389183,6,2014
Napa,1372525,26,2014
Nevada,53695,48,2014
Orange,919351,30,2014
Placer,308111,37,2014
Plumas,26863,51,2014
Riverside,2234831,19,2014
Sacramento,4025246,13,2014
San Benito,660448,33,2014
San Bernardino,577939,35,2014
San Diego,1617591,24,2014
San Francisco,39882,49,2014
San Joaquin,12025375,4,2014
San Luis Obispo,3029013,15,2014
San Mateo,260261,39,2014
Santa Barbara,4782176,12,2014
Santa Clara,1319606,27,2014
Santa Cruz,1907983,23,2014
Shasta,247099,40,2014
Sierra,12384,54,2014
Siskiyou,1615802,25,2014
Solano,1282937,28,2014
Sonoma,2211222,20,2014
Stanislaus,7076448,8,2014
Sutter,3020090,16,2014
Tehama,857848,32,2014
Trinity,22317,53,2014
Tulare,14908389,3,2014
Tuolumne,83290,45,2014
Ventura,6532477,10,2014
Yolo,3471719,14,2014
Yuba,1031791,29,2014
Alameda,320177,38,2013
Alpine,266,58,2013
Amador,77428,46,2013
Butte,2984674,17,2013
Calaveras,33471,48,2013
Colusa,2849497,18,2013
Contra Costa,389713,36,2013
Del Norte,308627,39,2013
El Dorado,143503,42,2013
Fresno,34343074,1,2013
Glenn,2159514,22,2013
Humboldt,27265,51,2013
Imperial,4620545,12,2013
Inyo,15783,54,2013
Kern,31518004,2,2013
Kings,7431201,8,2013
Lake,594730,34,2013
Lassen,136408,43,2013
Los Angeles,2444589,19,2013
Madera,10195362,5,2013
Marin,84925,45,2013
Mariposa,17782,53,2013
Mendocino,991301,30,2013
Merced,8541414,6,2013
Modoc,87922,44,2013
Mono,11228,56,2013
Monterey,8536773,7,2013
Napa,1254737,26,2013
Nevada,47894,47,2013
Orange,1075950,29,2013
Placer,303443,40,2013
Plumas,25684,52,2013
Riverside,2434845,20,2013
Sacramento,3654687,13,2013
San Benito,653924,33,2013
San Bernardino,571095,35,2013
San Diego,1628489,25,2013
San Francisco,28727,49,2013
San Joaquin,10941368,4,2013
San Luis Obispo,3088808,16,2013
San Mateo,266421,41,2013
Santa Barbara,4666313,11,2013
Santa Clara,956499,31,2013
Santa Cruz,1743406,24,2013
Shasta,322145,37,2013
Sierra,4937,57,2013
Siskiyou,1846556,23,2013
Solano,1197064,28,2013
Sonoma,2238715,21,2013
Stanislaus,6969007,9,2013
Sutter,3185191,15,2013
Tehama,857274,32,2013
Trinity,12041,55,2013
Tulare,14686564,3,2013
Tuolumne,28381,50,2013
Ventura,6268816,10,2013
Yolo,3578591,14,2013
Yuba,1254145,27,2013
Alameda,289411,39,2012
Alpine,155,58,2012
Amador,61705,46,2012
Butte,2795981,18,2012
Calaveras,40532,48,2012
Colusa,2540002,19,2012
Contra Costa,478769,36,2012
